year,"last_name, first_name",match_name,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
2027,"Burleson, Alec","Lindor, Francisco",91.3755555555556,19.20555555555552,12.89333333333343,49.35222222222228,0.35528888888888877,0.25437777777777715,0.47730000000000006
2028,"Burleson, Alec","Lindor, Francisco",91.57888888888891,20.047222222222217,13.670000000000073,50.7405555555556,0.3561888888888889,0.2513111111111108,0.47901666666666687
2025,"Schneider, Davis","Bellinger, Cody",87.92499999999995,18.120205479452125,6.204109589040854,32.658904109589,0.30312328767123375,0.24795205479451976,0.3871746575342456
2026,"Schneider, Davis","Bellinger, Cody",87.5,18.269863013698682,5.397260273972506,30.827397260273756,0.29191780821917845,0.24469863013698578,0.3643835616438338
2027,"Schneider, Davis","Bellinger, Cody",87.07500000000005,18.41952054794524,4.590410958903931,28.99589041095851,0.28071232876712315,0.2414452054794518,0.34159246575342195
2028,"Schneider, Davis","Bellinger, Cody",86.64999999999998,18.569178082191797,3.7835616438353554,27.164383561643717,0.26950684931506785,0.23819178082191694,0.3188013698630101
2025,"Rocchio, Brayan","Anderson, Tim",89.43857142857144,1.0857142857144026,5.689999999999998,44.07142857142844,0.31877142857142804,0.2802428571428557,0.4039428571428574
2026,"Rocchio, Brayan","Anderson, Tim",89.91285714285709,-0.22142857142853245,5.6299999999999955,46.00714285714275,0.3222571428571417,0.2849142857142848,0.40231428571428607
2027,"Rocchio, Brayan","Anderson, Tim",90.38714285714286,-1.5285714285714675,5.570000000000007,47.942857142857065,0.3257428571428562,0.2895857142857139,0.40068571428571476
2028,"Rocchio, Brayan","Anderson, Tim",90.86142857142852,-2.8357142857144026,5.510000000000005,49.87857142857138,0.32922857142857076,0.2942571428571412,0.399057142857143
2025,"Duran, Ezequiel","Cabrera, Asdrúbal",90.61428571428564,11.075238095238092,7.352380952380997,43.20190476190464,0.33719047619047604,0.24969523809523797,0.4510571428571417
2026,"Duran, Ezequiel","Cabrera, Asdrúbal",90.88571428571424,10.538095238095138,7.580952380952397,44.404761904761926,0.34047619047619015,0.25023809523809515,0.4561428571428561
2027,"Duran, Ezequiel","Cabrera, Asdrúbal",91.15714285714284,10.000952380952413,7.809523809523853,45.60761904761921,0.34376190476190516,0.2507809523809523,0.46122857142857043
