"last_name, first_name",match_name,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
"Arias, Gabriel","Cruz Jr., Nelson",2028,85.10000000000002,6.600000000000004,6.799999999999999,35.400000000000006,0.31499999999999995,0.2419999999999999,0.37100000000000005
"Moreno, Gabriel","LeMahieu, DJ",2025,87.42,4.160000000000001,2.8799999999999986,35.01999999999999,0.2706,0.2264,0.2992
"Moreno, Gabriel","LeMahieu, DJ",2026,86.92,3.9600000000000017,3.1799999999999984,30.51999999999999,0.2056,0.1654,0.22820000000000001
"Moreno, Gabriel","LeMahieu, DJ",2027,87.02000000000001,4.460000000000002,5.779999999999998,31.51999999999999,0.1926,0.14539999999999997,0.26220000000000004
"Moreno, Gabriel","LeMahieu, DJ",2028,86.52000000000001,0.6600000000000019,3.7799999999999976,29.51999999999999,0.16759999999999997,0.12039999999999995,0.23220000000000007
"Garcia, Maikel","Rosario, Amed",2025,90.36,2.9799999999999986,2.38,49.92,0.29059999999999997,0.24960000000000004,0.32880000000000004
"Garcia, Maikel","Rosario, Amed",2026,89.36,-0.8200000000000021,2.6799999999999997,48.72,0.28359999999999996,0.2426000000000001,0.3088000000000001
"Garcia, Maikel","Rosario, Amed",2027,88.25999999999999,-2.020000000000003,1.8799999999999994,48.62,0.27159999999999995,0.23060000000000014,0.2728000000000001
"Garcia, Maikel","Rosario, Amed",2028,85.75999999999999,-6.220000000000004,2.279999999999999,45.32,0.23459999999999998,0.19760000000000016,0.2158000000000001
"Lopez, Otto","Rosario, Amed",2025,87.39999999999999,2.0999999999999996,3.6999999999999993,42.9,0.296,0.25800000000000006,0.34600000000000003
"Lopez, Otto","Rosario, Amed",2026,86.39999999999999,-1.700000000000001,3.999999999999999,41.699999999999996,0.289,0.2510000000000001,0.32600000000000007
"Lopez, Otto","Rosario, Amed",2027,85.29999999999998,-2.900000000000002,3.199999999999999,41.599999999999994,0.27699999999999997,0.23900000000000016,0.2900000000000001
"Lopez, Otto","Rosario, Amed",2028,82.79999999999998,-7.100000000000003,3.5999999999999983,38.3,0.24,0.20600000000000018,0.2330000000000001
"Perdomo, Geraldo","Galvis, Freddy",2025,85.37999999999998,18.299999999999997,1.8199999999999998,19.380000000000003,0.3026,0.2332,0.31320000000000003
"Perdomo, Geraldo","Galvis, Freddy",2026,86.57999999999997,18.4,2.92,20.880000000000003,0.3136,0.22219999999999998,0.3102000000000001
"Perdomo, Geraldo","Galvis, Freddy",2027,87.97999999999996,19.5,5.62,29.880000000000003,0.3316,0.22819999999999996,0.3502000000000001
"Perdomo, Geraldo","Galvis, Freddy",2028,89.37999999999995,20.599999999999998,8.32,38.88,0.3496,0.23419999999999994,0.39020000000000016
"Jung, Josh","Upton, Justin",2025,89.3,15.2,12.6,43.199999999999996,0.3559999999999999,0.262,0.502
"Jung, Josh","Upton, Justin",2026,88.7,11.6,14.1,45.099999999999994,0.3679999999999999,0.259,0.48000000000000004
"Jung, Josh","Upton, Justin",2027,88.10000000000001,8.0,15.6,46.99999999999999,0.37999999999999984,0.256,0.4580000000000001
